phase,seed,method,lr,initial_validation_loss,validation_loss,validation_accuracy,w_change,gradient_error,gradient_cosine,seconds,status,test_loss,test_accuracy
evaluation,47000,implicit,0.003,0.5819517184331229,0.23589662435138195,0.85,1.411190838292453,0.0,0.9999999999999998,0.31553843000438064,ok,0.23544133447852386,0.8442211055276382
evaluation,47000,pc,0.003,0.5819517184331229,0.2378210146865968,0.85,1.9515669794708392,0.5665607376200205,0.9446651362091082,2.2230089490039973,ok,0.23578237342690153,0.8542713567839196
evaluation,47000,alm,0.003,0.5819517184331229,0.23264402721870558,0.86,1.5509644853717106,0.1148711748722147,0.995522770280875,2.28273605099821,ok,0.23265593019109398,0.8542713567839196
evaluation,47000,masked,0.003,0.5819517184331229,0.22859541984940723,0.8633333333333333,2.0713238800701372,0.32709961906690854,0.9462019428277795,2.303912852992653,ok,0.22670902087556385,0.864321608040201
evaluation,47000,readout,0.003,0.5819517184331229,0.24810419313590926,0.85,0.0,0.0,1.0,0.3859012780012563,ok,0.2478334539172048,0.8056951423785594
evaluation,47001,implicit,0.003,0.6227309628175609,0.23401909390612644,0.8533333333333334,1.4548357815855215,0.0,1.0000000000000002,0.31572884699562564,ok,0.23289673433170305,0.8576214405360134
evaluation,47001,pc,0.003,0.6227309628175609,0.23107844332211078,0.86,2.183539808903768,0.5966836927143266,0.959150228186278,2.2789398500026437,ok,0.23364219976587214,0.8710217755443886
evaluation,47001,alm,0.003,0.6227309628175609,0.22574118490123354,0.8666666666666667,1.970554850050727,0.10602506272031137,0.9966628845144947,2.248059681005543,ok,0.22468766101000806,0.8743718592964824
evaluation,47001,masked,0.003,0.6227309628175609,0.23270209205065318,0.8566666666666667,1.854427227339404,0.218020524806534,0.9761146584961765,2.2372218840027926,ok,0.2320287674173119,0.8676716917922948
evaluation,47001,readout,0.003,0.6227309628175609,0.24871746429648103,0.8366666666666667,0.0,0.0,1.0,0.38325217900273856,ok,0.2491356910152481,0.8274706867671692
evaluation,47002,implicit,0.003,0.5594757441788215,0.2322169574377394,0.8533333333333334,1.6868356852003479,0.0,0.9999999999999999,0.33495417900849134,ok,0.23527239839506453,0.8525963149078727
evaluation,47002,pc,0.003,0.5594757441788215,0.23385607114094184,0.8633333333333333,2.4530756680265693,0.5438013966570749,0.9489045262204125,2.3138016769953538,ok,0.2333494159226171,0.8626465661641541
evaluation,47002,alm,0.003,0.5594757441788215,0.2280088167746211,0.86,1.979528175446382,0.1295681467806038,0.9955583857993637,2.233927001012489,ok,0.22992723785707378,0.8592964824120602
evaluation,47002,masked,0.003,0.5594757441788215,0.2348787882606454,0.8533333333333334,1.8298098904191902,0.2586059352500701,0.9662699211542487,2.234369993006112,ok,0.23765718622928708,0.8525963149078727
evaluation,47002,readout,0.003,0.5594757441788215,0.2530765931857681,0.8366666666666667,0.0,0.0,1.0,0.3702798320009606,ok,0.2570348937997242,0.8358458961474037
evaluation,47003,implicit,0.003,0.5723607658142744,0.22838539714060743,0.8766666666666667,1.3869708862189432,0.0,0.9999999999999998,0.33202868500666227,ok,0.23208719170853187,0.8844221105527639
evaluation,47003,pc,0.003,0.5723607658142744,0.22309709097019767,0.88,2.3076370953692855,0.5240991995729635,0.9689595013346036,2.2380141250032466,ok,0.22194929266255092,0.9028475711892797
evaluation,47003,alm,0.003,0.5723607658142744,0.2226028924842143,0.8833333333333333,1.6737521940225344,0.08626875282569278,0.9978556845144069,2.0849981700011995,ok,0.22617320472728822,0.897822445561139
evaluation,47003,masked,0.003,0.5723607658142744,0.22609105205823718,0.89,1.6302833196286595,0.1600737067479656,0.9883088456869912,1.9784870860021329,ok,0.22917301375351415,0.8927973199329984
evaluation,47003,readout,0.003,0.5723607658142744,0.24498772660568477,0.8733333333333333,0.0,0.0,1.0,0.3134799120016396,ok,0.2486109393634114,0.864321608040201
evaluation,47004,implicit,0.003,0.5634450997569779,0.22736548299699996,0.8933333333333333,1.49010598628087,0.0,1.0000000000000004,0.4543044460006058,ok,0.23249882908394176,0.8777219430485762
evaluation,47004,pc,0.003,0.5634450997569779,0.222969502330939,0.88,2.3429704561247613,0.6158382917628518,0.9489998163506302,1.9757035239890683,ok,0.22812824816604416,0.8777219430485762
evaluation,47004,alm,0.003,0.5634450997569779,0.22129301789272243,0.9033333333333333,1.9380451177285536,0.16732330264752307,0.9925140962065501,1.9765295399993192,ok,0.22537878242798542,0.88107202680067
evaluation,47004,masked,0.003,0.5634450997569779,0.2265048177965635,0.89,1.9028963377326962,0.15396784891073984,0.9893595201040393,1.9365206750080688,ok,0.23177099025024847,0.8793969849246231
evaluation,47004,readout,0.003,0.5634450997569779,0.24297931933377906,0.8733333333333333,0.0,0.0,0.9999999999999998,0.299233039986575,ok,0.24942189127044626,0.8425460636515912
