phase,seed,method,lr,initial_validation_loss,validation_loss,validation_accuracy,w_change,gradient_error,gradient_cosine,seconds,status
development,46000,implicit,0.001,0.7172033564582914,0.3051152276816636,0.7466666666666667,1.641835876991526,0.0,1.0000000000000002,0.2950494910037378,ok
development,46000,implicit,0.003,0.7172033564582914,0.24104059378275067,0.8766666666666667,1.4463231109654344,0.0,1.0000000000000002,0.3145525180007098,ok
development,46000,pc,0.001,0.7172033564582914,0.29481362801969485,0.7633333333333333,1.8155231985790634,0.3310434915731956,0.9698117448353852,1.9450181080028415,ok
development,46000,pc,0.003,0.7172033564582914,0.2291794296732246,0.8833333333333333,2.160891509668794,0.5181458434859582,0.9440629686717122,2.0095288189913845,ok
development,46000,alm,0.001,0.7172033564582914,0.30503944471335775,0.7533333333333333,1.6433943442027823,0.13129161520553118,0.9957147729489393,2.0311100060062017,ok
development,46000,alm,0.003,0.7172033564582914,0.23695165094062007,0.88,1.6037419613516546,0.08877175483111448,0.9970764150357929,1.967684069997631,ok
development,46000,masked,0.001,0.7172033564582914,0.31067482333683427,0.7433333333333333,1.6959957681478284,0.1793901289110877,0.9843295546349653,2.03763931299909,ok
development,46000,masked,0.003,0.7172033564582914,0.23315516086862714,0.89,2.0211484511011952,0.20972003334352507,0.9779721383280081,1.994657980001648,ok
development,46000,readout,0.001,0.7172033564582914,0.3272365856744255,0.7,0.0,0.0,1.0,0.29867186199408025,ok
development,46000,readout,0.003,0.7172033564582914,0.252807780079094,0.8733333333333333,0.0,0.0,0.9999999999999998,0.3076472009997815,ok
development,46001,implicit,0.001,0.5377713073653027,0.2918870148255798,0.8466666666666667,1.4580451521964344,0.0,0.9999999999999998,0.29455514800793026,ok
development,46001,implicit,0.003,0.5377713073653027,0.2267558039339741,0.9166666666666666,1.7191388816158861,0.0,0.9999999999999997,0.2948608660080936,ok
development,46001,pc,0.001,0.5377713073653027,0.2730973891640472,0.85,1.9668973097011315,0.27502821921333803,0.9812816510215778,1.9730755649943603,ok
development,46001,pc,0.003,0.5377713073653027,0.2208425809798416,0.8966666666666666,2.02561569138039,0.4745861868577162,0.976211692388779,2.0418188350013224,ok
development,46001,alm,0.001,0.5377713073653027,0.2845184477198643,0.8633333333333333,1.6633790317985668,0.1616449459735719,0.9924409411876748,1.9725430719990982,ok
development,46001,alm,0.003,0.5377713073653027,0.22384123845679255,0.9,1.8970887613069791,0.21524605041274142,0.9897338504731984,2.0824230599973816,ok
development,46001,masked,0.001,0.5377713073653027,0.287849682614053,0.8533333333333334,1.9246426407720094,0.22072204550244526,0.9763468626122229,2.075438404994202,ok
development,46001,masked,0.003,0.5377713073653027,0.22680343602600953,0.92,2.0448002735183475,0.27093630797199136,0.9636839215875684,2.139763382001547,ok
development,46001,readout,0.001,0.5377713073653027,0.31872666789567455,0.7733333333333333,0.0,0.0,1.0,0.3506103039981099,ok
development,46001,readout,0.003,0.5377713073653027,0.2500748770762123,0.8833333333333333,0.0,0.0,1.0,0.36182690599525813,ok
development,46002,implicit,0.001,0.5780311055110593,0.2959346426946661,0.79,1.5776794131296528,0.0,1.0000000000000002,0.39517078301287256,ok
development,46002,implicit,0.003,0.5780311055110593,0.23850435689633656,0.8466666666666667,1.454433993416954,0.0,1.0,0.37032928099506535,ok
development,46002,pc,0.001,0.5780311055110593,0.2781838880295671,0.78,2.119944300947366,0.308486941650179,0.9743860373621326,2.1932274519931525,ok
development,46002,pc,0.003,0.5780311055110593,0.2339005898851147,0.8733333333333333,2.175823052266085,0.5367416765280728,0.951632553476913,2.1633854050014634,ok
development,46002,alm,0.001,0.5780311055110593,0.29229709161783224,0.7866666666666666,1.736099587519495,0.18118805712829764,0.9904304118151369,2.28257808998751,ok
development,46002,alm,0.003,0.5780311055110593,0.2332738938963634,0.86,1.7905062350411411,0.13588891512920892,0.9945020527190658,2.291419057000894,ok
development,46002,masked,0.001,0.5780311055110593,0.2981262283753169,0.7833333333333333,1.7909399211900376,0.20575004592858737,0.980717163043191,2.285056598004303,ok
development,46002,masked,0.003,0.5780311055110593,0.24042353759827573,0.8533333333333334,1.7442701778265008,0.17948233857809837,0.9850472095437668,2.057255460997112,ok
development,46002,readout,0.001,0.5780311055110593,0.32344176632053123,0.7466666666666667,0.0,0.0,1.0000000000000002,0.3468866820039693,ok
development,46002,readout,0.003,0.5780311055110593,0.2603369464762267,0.8333333333333334,0.0,0.0,0.9999999999999998,0.32791657699272037,ok
