phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development_replay,46002,alm,0.003,1,0.445210371046117,0.22,0.002130434754071604
development_replay,46002,alm,0.003,2,0.40075704883310653,0.4066666666666667,0.0020451529520516105
development_replay,46002,alm,0.003,3,0.3637136128834256,0.5733333333333334,0.0019981596911547096
development_replay,46002,alm,0.003,4,0.3351667315530717,0.6966666666666667,0.002072018211416859
development_replay,46002,alm,0.003,5,0.3176862140514457,0.7333333333333333,0.002232524673444378
development_replay,46002,alm,0.003,6,0.3020620367835269,0.7633333333333333,0.0022453814788638625
development_replay,46002,alm,0.003,7,0.28968537549792583,0.79,0.0023169369168883672
development_replay,46002,alm,0.003,8,0.28031924035819505,0.8033333333333333,0.00245197014147871
development_replay,46002,alm,0.003,9,0.2723547577606996,0.7933333333333333,0.002463310258962324
development_replay,46002,alm,0.003,10,0.26577770624871894,0.81,0.002476378292751894
development_replay,46002,alm,0.003,11,0.26017799489758536,0.8166666666666667,0.0025882561604112985
development_replay,46002,alm,0.003,12,0.25565682816420376,0.83,0.002669139410375876
development_replay,46002,alm,0.003,13,0.2521032932549204,0.8233333333333334,0.002569636939263074
development_replay,46002,alm,0.003,14,0.2483823453912349,0.8333333333333334,0.0026079910251471886
development_replay,46002,alm,0.003,15,0.24503707449421394,0.83,0.0026042829717331487
development_replay,46002,alm,0.003,16,0.2423298717338172,0.8333333333333334,0.002663473167241847
development_replay,46002,alm,0.003,17,0.24009282109611524,0.8366666666666667,0.002643024928697273
development_replay,46002,alm,0.003,18,0.2378475488185082,0.8366666666666667,0.002705225242699259
development_replay,46002,alm,0.003,19,0.23537577483100952,0.85,0.0027613396486571014
development_replay,46002,alm,0.003,20,0.2332738938963634,0.86,0.0027323693001054957
